ingredient,cluster,related_ingredient_1,related_ingredient_2,related_ingredient_3,related_ingredient_4,related_article_1,related_article_2
pork-fat,animal_fats,poultry-fat,lamb-fat,duck-fat,vegetable-oil,dog-skin-coat-supplements,all-natural-dog-supplements
pork-liver-flavor,flavors_palatable_digests,chicken-liver-flavor,liver-digest,hydrolyzed-poultry-liver,pork-meal,how-to-read-dog-supplement-labels,how-pet-supplements-are-made
pork-meal,meat_meals_byproducts,pork-by-product-meal,turkey-meal,soybean-meal,pork,what-is-meat-meal-dog-food,chicken-by-products-dog-food
potassium-chloride,minerals,potassium-iodide,potassium-citrate,sodium-chloride,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
potassium-citrate,minerals,potassium-iodide,potassium-chloride,magnesium-citrate,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
potassium-iodide,minerals,potassium-citrate,potassium-chloride,calcium-iodide,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
potassium-sorbate,preservatives,sorbic-acid,sodium-propionate,sodium-benzoate,yellow-6,how-to-read-dog-supplement-labels,fillers-in-dog-supplements
potato-starch,starches,tapioca-starch,modified-food-starch,corn-starch,rice-starch,fillers-in-dog-supplements,dog-vs-human-nutrition
potatoes,starches,tapioca-starch,tapioca,potato-starch,wheat-gluten,fillers-in-dog-supplements,dog-vs-human-nutrition
poultry-by-product-meal,meat_meals_byproducts,pork-by-product-meal,meat-by-products,chicken-by-products,turkey,what-is-meat-meal-dog-food,chicken-by-products-dog-food
poultry-digest,flavors_palatable_digests,hydrolyzed-poultry-liver,liver-digest,fish-digest,poultry-by-product-meal,how-to-read-dog-supplement-labels,how-pet-supplements-are-made
poultry-fat,animal_fats,pork-fat,lamb-fat,duck-fat,vegetable-oil,dog-skin-coat-supplements,all-natural-dog-supplements
prebiotics,prebiotics,resistant-starch,psyllium-husk,mos,wheat-bran,best-prebiotic-foods-for-dogs,prebiotics-for-cats
probiotics,probiotics,yogurt,sauerkraut,lactobacillus-acidophilus,resistant-starch,probiotics-for-dogs,probiotics-for-cats
propylene-glycol,flavors_palatable_digests,white-distilled-vinegar,smoke-flavor,poultry-digest,turkey-meal,how-to-read-dog-supplement-labels,how-pet-supplements-are-made
protease,digestive_enzymes,papain,lipase,digestive-enzymes,yogurt,digestive-enzymes-for-dogs,gut-health-for-dogs
psyllium-husk,prebiotics,resistant-starch,prebiotics,mos,wheat-bran,best-prebiotic-foods-for-dogs,prebiotics-for-cats
pumpkin,vegetables,zucchini,tomatoes,sweet-potatoes,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
pumpkin-seed,seeds_plant_oils,chia-seed,vegetable-oil,sunflower-oil,sardine-oil,dog-skin-coat-supplements,all-natural-dog-supplements
pyridoxine-hydrochloride,vitamins,thiamine-hydrochloride,vitamin-k1-supplement,vitamin-k1,zinc-sulfate,dog-vitamins-deficiency,puppy-vitamins
quercetin,plant_antioxidants,zeaxanthin,vitamin-e-supplement,vitamin-e-succinate,watermelon,antioxidants-for-dogs,antioxidants-for-cats
red-3,artificial_colors,red-40,yellow-6,yellow-5,sorbic-acid,red-dye-40-dog-food,how-to-read-cat-food-labels
red-40,artificial_colors,yellow-5,yellow-6,blue-1,natural-color,red-dye-40-dog-food,how-to-read-cat-food-labels
reishi,mushrooms_adaptogens,withania-somnifera,shiitake,milk-thistle,zeaxanthin,immune-support-for-dogs,immune-support-for-cats
resistant-starch,prebiotics,psyllium-husk,prebiotics,mos,wheat-bran,best-prebiotic-foods-for-dogs,prebiotics-for-cats
riboflavin,vitamins,riboflavin-supplement,vitamin-k1-supplement,vitamin-k1,zinc-sulfate,dog-vitamins-deficiency,puppy-vitamins
riboflavin-supplement,vitamins,riboflavin,vitamin-k1-supplement,vitamin-d3-supplement,zinc-sulfate,dog-vitamins-deficiency,puppy-vitamins
rice,grains_grain_products,rice-starch,rice-flour,brown-rice,tapioca-starch,fillers-in-dog-supplements,protein-for-dogs
rice-bran,fibers_stool_support,rice-hulls,wheat-bran,sweet-potato-fiber,resistant-starch,dog-anal-gland-diet,fillers-in-dog-supplements
rice-flour,grains_grain_products,rice-starch,rice,brown-rice,cassava-flour,fillers-in-dog-supplements,protein-for-dogs
rice-hulls,fibers_stool_support,rice-bran,soy-hulls,peanut-hulls,resistant-starch,dog-anal-gland-diet,fillers-in-dog-supplements
rice-starch,grains_grain_products,rice-flour,rice,brown-rice,tapioca-starch,fillers-in-dog-supplements,protein-for-dogs
rosemary-extract,preservatives,oil-of-rosemary,sorbic-acid,sodium-propionate,yellow-6,how-to-read-dog-supplement-labels,fillers-in-dog-supplements
rye-meal,grains_grain_products,wheat-germ-meal,corn-meal,wheat-gluten,tapioca-starch,fillers-in-dog-supplements,protein-for-dogs
safflower-oil,seeds_plant_oils,vegetable-oil,sunflower-oil,soybean-oil,sardine-oil,dog-skin-coat-supplements,all-natural-dog-supplements
salmon,marine_proteins,salmon-meal,whole-antarctic-krill-meal,whitefish-meal,salmon-oil,protein-for-dogs,dog-skin-coat-supplements
salmon-meal,marine_proteins,salmon,whole-antarctic-krill-meal,whitefish-meal,salmon-oil,protein-for-dogs,dog-skin-coat-supplements
salmon-oil,omega3_marine_lipids,fish-oil,krill-oil,omega-3-fatty-acids,mixed-tocopherols,omega-3-fish-oil-for-dogs,omega-3-for-cats
salt,other_functional_binders,yucca-schidigera-extract,whey-powder,valerian-root,wheat-bran,how-to-read-dog-supplement-labels,why-dogs-need-supplements
sardine-oil,omega3_marine_lipids,salmon-oil,menhaden-oil,krill-oil,whole-antarctic-krill-meal,omega-3-fish-oil-for-dogs,omega-3-for-cats
sardines,marine_proteins,whole-antarctic-krill-meal,whitefish-meal,whitefish,sardine-oil,protein-for-dogs,dog-skin-coat-supplements
sauerkraut,probiotics,yogurt,probiotics,lactobacillus-acidophilus,resistant-starch,probiotics-for-dogs,probiotics-for-cats
sea-buckthorn,plant_antioxidants,zeaxanthin,vitamin-e-supplement,vitamin-e-succinate,watermelon,antioxidants-for-dogs,antioxidants-for-cats
selenium,minerals,zinc-sulfate,zinc-proteinate,zinc-oxide,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
selenium-yeast,yeast_fermentation_immune,nutritional-yeast,hydrolyzed-yeast,dried-yeast,yogurt,yeast-beta-glucan-for-dogs,yeast-fermentate-for-dogs
shiitake,mushrooms_adaptogens,withania-somnifera,reishi,milk-thistle,zeaxanthin,immune-support-for-dogs,immune-support-for-cats
shrimp,marine_proteins,shrimp-meal,whole-antarctic-krill-meal,whitefish-meal,sardine-oil,protein-for-dogs,dog-skin-coat-supplements
shrimp-meal,marine_proteins,shrimp,whole-antarctic-krill-meal,whitefish-meal,sardine-oil,protein-for-dogs,dog-skin-coat-supplements
silicon-dioxide,minerals,zinc-sulfate,zinc-proteinate,zinc-oxide,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
slippery-elm-bark,other_functional_binders,yucca-schidigera-extract,whey-powder,valerian-root,wheat-bran,how-to-read-dog-supplement-labels,why-dogs-need-supplements
smoke-flavor,flavors_palatable_digests,hickory-smoke-flavor,pork-liver-flavor,natural-flavor,turkey-meal,how-to-read-dog-supplement-labels,how-pet-supplements-are-made
sodium-acid-pyrophosphate,other_functional_binders,sodium-tripolyphosphate,sodium-hexametaphosphate,yucca-schidigera-extract,wheat-bran,how-to-read-dog-supplement-labels,why-dogs-need-supplements
sodium-alginate,gums_thickeners,xanthan-gum,pectin,locust-bean-gum,wheat-bran,food-thickeners-gums-in-dog-food,how-to-read-dog-supplement-labels
sodium-benzoate,preservatives,sodium-propionate,sorbic-acid,rosemary-extract,yellow-6,how-to-read-dog-supplement-labels,fillers-in-dog-supplements
sodium-chloride,minerals,sodium-selenite,potassium-chloride,zinc-sulfate,menadione-sodium-bisulfite-complex,zinc-for-dogs,dog-vitamins-deficiency
sodium-hexametaphosphate,other_functional_binders,sodium-tripolyphosphate,sodium-acid-pyrophosphate,yucca-schidigera-extract,wheat-bran,how-to-read-dog-supplement-labels,why-dogs-need-supplements
sodium-propionate,preservatives,sodium-benzoate,calcium-propionate,sorbic-acid,yellow-6,how-to-read-dog-supplement-labels,fillers-in-dog-supplements
sodium-selenite,minerals,sodium-chloride,zinc-sulfate,zinc-proteinate,menadione-sodium-bisulfite-complex,zinc-for-dogs,dog-vitamins-deficiency
sodium-tripolyphosphate,other_functional_binders,sodium-hexametaphosphate,sodium-acid-pyrophosphate,yucca-schidigera-extract,wheat-bran,how-to-read-dog-supplement-labels,why-dogs-need-supplements
sorbic-acid,preservatives,citric-acid,sodium-propionate,sodium-benzoate,yellow-6,how-to-read-dog-supplement-labels,fillers-in-dog-supplements
sorghum,grains_grain_products,sorghum-flour,wheat-gluten,wheat-germ-meal,tapioca-starch,fillers-in-dog-supplements,protein-for-dogs
sorghum-flour,grains_grain_products,sorghum,wheat-flour,rice-flour,cassava-flour,fillers-in-dog-supplements,protein-for-dogs
soy-hulls,fibers_stool_support,rice-hulls,peanut-hulls,oat-hulls,resistant-starch,dog-anal-gland-diet,fillers-in-dog-supplements
soy-protein-concentrate,meat_meals_byproducts,soy-protein-isolate,pea-protein-concentrate,turkey-meal,turkey,what-is-meat-meal-dog-food,chicken-by-products-dog-food
soy-protein-isolate,meat_meals_byproducts,soy-protein-concentrate,turkey-meal,soybean-meal,turkey,what-is-meat-meal-dog-food,chicken-by-products-dog-food
soybean-meal,meat_meals_byproducts,turkey-meal,poultry-by-product-meal,pork-meal,turkey,what-is-meat-meal-dog-food,chicken-by-products-dog-food
soybean-oil,seeds_plant_oils,vegetable-oil,sunflower-oil,safflower-oil,sardine-oil,dog-skin-coat-supplements,all-natural-dog-supplements
spinach,vegetables,zucchini,tomatoes,sweet-potatoes,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
spirulina,plant_antioxidants,chlorella,astaxanthin,lutein,zeaxanthin,antioxidants-for-dogs,antioxidants-for-cats
spirulina-color,artificial_colors,vegetable-juice-for-color,natural-color,beet-juice-color,sorbic-acid,red-dye-40-dog-food,how-to-read-cat-food-labels
split-peas,legumes,yellow-peas,peas,pinto-beans,wheat-gluten,fillers-in-dog-supplements,protein-for-dogs
squash,vegetables,butternut-squash,zucchini,tomatoes,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
sunflower-lecithin,seeds_plant_oils,sunflower-oil,lecithin,vegetable-oil,sardine-oil,dog-skin-coat-supplements,all-natural-dog-supplements
sunflower-oil,seeds_plant_oils,sunflower-lecithin,vegetable-oil,soybean-oil,sardine-oil,dog-skin-coat-supplements,all-natural-dog-supplements
sweet-potato-fiber,fibers_stool_support,pea-hull-fiber,pea-fiber,oat-fiber,resistant-starch,dog-anal-gland-diet,fillers-in-dog-supplements
sweet-potatoes,vegetables,dried-sweet-potatoes,zucchini,tomatoes,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
tapioca,starches,tapioca-starch,potatoes,potato-starch,wheat-gluten,fillers-in-dog-supplements,dog-vs-human-nutrition
tapioca-starch,starches,tapioca,potato-starch,modified-food-starch,rice-starch,fillers-in-dog-supplements,dog-vs-human-nutrition
taurine,amino_acids,choline-chloride,l-carnitine,fish-oil,vitamin-a-supplement,taurine-for-cats,protein-requirements-cats
thiamine-hydrochloride,vitamins,thiamine-mononitrate,pyridoxine-hydrochloride,vitamin-k1-supplement,zinc-sulfate,dog-vitamins-deficiency,puppy-vitamins
thiamine-mononitrate,vitamins,thiamine-hydrochloride,vitamin-k1-supplement,vitamin-k1,zinc-sulfate,dog-vitamins-deficiency,puppy-vitamins
tomatoes,vegetables,zucchini,sweet-potatoes,squash,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
tricalcium-phosphate,minerals,dicalcium-phosphate,zinc-sulfate,zinc-proteinate,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
tripe,organ_meats,turkey-liver,turkey-heart,lung,turkey,organ-based-nutrition-for-dogs,how-much-liver-to-feed-dog
tryptophan,amino_acids,taurine,l-threonine,l-theanine,vitamin-k1-supplement,taurine-for-cats,protein-requirements-cats
tuna,marine_proteins,whole-antarctic-krill-meal,whitefish-meal,whitefish,sardine-oil,protein-for-dogs,dog-skin-coat-supplements
turkey,animal_muscle_meats,pork,lamb,duck,turkey-liver,protein-for-dogs,human-grade-dog-treats
turkey-heart,organ_meats,turkey-liver,chicken-heart,beef-heart,turkey,organ-based-nutrition-for-dogs,how-much-liver-to-feed-dog
turkey-liver,organ_meats,turkey-heart,duck-liver,chicken-liver,turkey,organ-based-nutrition-for-dogs,how-much-liver-to-feed-dog
turkey-meal,meat_meals_byproducts,soybean-meal,poultry-by-product-meal,pork-meal,turkey,what-is-meat-meal-dog-food,chicken-by-products-dog-food
turmeric,joint_support,msm,hyaluronic-acid,green-lipped-mussel,turkey-liver,joint-supplements-for-dogs,uc-ii-vs-glucosamine-for-dogs
valerian-root,other_functional_binders,marshmallow-root,yucca-schidigera-extract,whey-powder,wheat-bran,how-to-read-dog-supplement-labels,why-dogs-need-supplements
vegetable-juice-for-color,artificial_colors,beet-juice-color,spirulina-color,natural-color,sorbic-acid,red-dye-40-dog-food,how-to-read-cat-food-labels
vegetable-oil,seeds_plant_oils,sunflower-oil,soybean-oil,safflower-oil,sardine-oil,dog-skin-coat-supplements,all-natural-dog-supplements
vitamin-a-acetate,vitamins,vitamin-a-supplement,vitamin-k1-supplement,vitamin-k1,zinc-sulfate,dog-vitamins-deficiency,puppy-vitamins
vitamin-a-supplement,vitamins,vitamin-a-acetate,vitamin-k1-supplement,vitamin-d3-supplement,zinc-sulfate,dog-vitamins-deficiency,puppy-vitamins
vitamin-b12-supplement,vitamins,vitamin-k1-supplement,vitamin-d3-supplement,vitamin-d2-supplement,zinc-sulfate,dog-vitamins-deficiency,puppy-vitamins
vitamin-d2-supplement,vitamins,vitamin-k1-supplement,vitamin-d3-supplement,vitamin-b12-supplement,zinc-sulfate,dog-vitamins-deficiency,puppy-vitamins
vitamin-d3-supplement,vitamins,vitamin-k1-supplement,vitamin-d2-supplement,vitamin-b12-supplement,zinc-sulfate,dog-vitamins-deficiency,puppy-vitamins
vitamin-e-acetate,plant_antioxidants,vitamin-e-supplement,vitamin-e-succinate,zeaxanthin,watermelon,antioxidants-for-dogs,antioxidants-for-cats
vitamin-e-succinate,plant_antioxidants,vitamin-e-supplement,vitamin-e-acetate,zeaxanthin,watermelon,antioxidants-for-dogs,antioxidants-for-cats
vitamin-e-supplement,plant_antioxidants,vitamin-e-succinate,vitamin-e-acetate,zeaxanthin,watermelon,antioxidants-for-dogs,antioxidants-for-cats
vitamin-k1,vitamins,vitamin-k1-supplement,vitamin-d3-supplement,vitamin-d2-supplement,zinc-sulfate,dog-vitamins-deficiency,puppy-vitamins
vitamin-k1-supplement,vitamins,vitamin-k1,vitamin-d3-supplement,vitamin-d2-supplement,zinc-sulfate,dog-vitamins-deficiency,puppy-vitamins
watermelon,fruits,pineapple,pear,papaya,zeaxanthin,antioxidants-for-dogs,what-extends-dog-lifespan
wheat,grains_grain_products,wheat-gluten,wheat-germ-meal,wheat-flour,tapioca-starch,fillers-in-dog-supplements,protein-for-dogs
wheat-bran,fibers_stool_support,rice-bran,sweet-potato-fiber,soy-hulls,resistant-starch,dog-anal-gland-diet,fillers-in-dog-supplements
wheat-flour,grains_grain_products,wheat-gluten,wheat-germ-meal,wheat,cassava-flour,fillers-in-dog-supplements,protein-for-dogs
wheat-germ-meal,grains_grain_products,wheat-gluten,wheat-flour,wheat,tapioca-starch,fillers-in-dog-supplements,protein-for-dogs
wheat-gluten,grains_grain_products,wheat-germ-meal,wheat-flour,wheat,tapioca-starch,fillers-in-dog-supplements,protein-for-dogs
whey-powder,other_functional_binders,dried-whey,yucca-schidigera-extract,valerian-root,wheat-bran,how-to-read-dog-supplement-labels,why-dogs-need-supplements
white-distilled-vinegar,flavors_palatable_digests,apple-cider-vinegar,smoke-flavor,propylene-glycol,turkey-meal,how-to-read-dog-supplement-labels,how-pet-supplements-are-made
whitefish,marine_proteins,whitefish-meal,whole-antarctic-krill-meal,tuna,sardine-oil,protein-for-dogs,dog-skin-coat-supplements
whitefish-meal,marine_proteins,whitefish,whole-antarctic-krill-meal,shrimp-meal,sardine-oil,protein-for-dogs,dog-skin-coat-supplements
whole-antarctic-krill-meal,marine_proteins,whitefish-meal,shrimp-meal,salmon-meal,krill-oil,protein-for-dogs,dog-skin-coat-supplements
withania-somnifera,mushrooms_adaptogens,shiitake,reishi,milk-thistle,zeaxanthin,immune-support-for-dogs,immune-support-for-cats
xanthan-gum,gums_thickeners,guar-gum,locust-bean-gum,carrageenan,acacia-gum,food-thickeners-gums-in-dog-food,how-to-read-dog-supplement-labels
yeast-beta-glucans,yeast_fermentation_immune,yeast-fermentate,autolyzed-yeast,brewers-dried-yeast,colostrum,yeast-beta-glucan-for-dogs,yeast-fermentate-for-dogs
yeast-fermentate,yeast_fermentation_immune,yeast-beta-glucans,autolyzed-yeast,brewers-dried-yeast,colostrum,yeast-beta-glucan-for-dogs,yeast-fermentate-for-dogs
yellow-5,artificial_colors,yellow-6,vegetable-juice-for-color,spirulina-color,sorbic-acid,red-dye-40-dog-food,how-to-read-cat-food-labels
yellow-6,artificial_colors,yellow-5,vegetable-juice-for-color,spirulina-color,sorbic-acid,red-dye-40-dog-food,how-to-read-cat-food-labels
yellow-peas,legumes,split-peas,peas,pinto-beans,wheat-gluten,fillers-in-dog-supplements,protein-for-dogs
yogurt,probiotics,sauerkraut,probiotics,lactobacillus-acidophilus,resistant-starch,probiotics-for-dogs,probiotics-for-cats
yucca-schidigera-extract,other_functional_binders,whey-powder,valerian-root,sodium-tripolyphosphate,wheat-bran,how-to-read-dog-supplement-labels,why-dogs-need-supplements
zeaxanthin,plant_antioxidants,vitamin-e-supplement,vitamin-e-succinate,vitamin-e-acetate,watermelon,antioxidants-for-dogs,antioxidants-for-cats
zinc-amino-acid-chelate,minerals,zinc-chelate,zinc-sulfate,zinc-proteinate,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
zinc-chelate,minerals,zinc-amino-acid-chelate,zinc-sulfate,zinc-proteinate,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
zinc-methionine-complex,minerals,zinc-sulfate,zinc-proteinate,zinc-oxide,menadione-sodium-bisulfite-complex,zinc-for-dogs,dog-vitamins-deficiency
zinc-oxide,minerals,zinc-sulfate,zinc-proteinate,zinc-methionine-complex,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
zinc-proteinate,minerals,zinc-sulfate,zinc-oxide,zinc-methionine-complex,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
zinc-sulfate,minerals,zinc-proteinate,zinc-oxide,zinc-methionine-complex,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
zucchini,vegetables,tomatoes,sweet-potatoes,squash,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
